,DATA,NOM ESTACIO,hora,NO2,SO2
4889,2024-01-01,Montcada i Reixac,22h,38.0,1.0
4890,2024-01-01,Montcada i Reixac,23h,34.0,1.0
4891,2024-01-01,Montcada i Reixac,24h,29.0,1.0
4892,2024-01-01,Rubí,01h,36.0,2.0
4893,2024-01-01,Rubí,02h,40.0,3.0
4894,2024-01-01,Rubí,03h,41.0,3.0
4895,2024-01-01,Rubí,04h,37.0,3.0
4896,2024-01-01,Rubí,05h,32.0,3.0
4897,2024-01-01,Rubí,06h,29.0,3.0
4898,2024-01-01,Rubí,07h,20.0,3.0
4899,2024-01-01,Rubí,08h,19.0,3.0
4900,2024-01-01,Rubí,09h,22.0,3.0
4901,2024-01-01,Rubí,10h,16.0,2.0
4902,2024-01-01,Rubí,11h,12.0,3.0
4903,2024-01-01,Rubí,12h,10.0,3.0
4904,2024-01-01,Rubí,13h,7.0,4.0
4905,2024-01-01,Rubí,14h,9.0,5.0
4906,2024-01-01,Rubí,15h,7.0,4.0
4907,2024-01-01,Rubí,16h,7.0,3.0
4908,2024-01-01,Rubí,17h,14.0,3.0
4909,2024-01-01,Rubí,18h,22.0,3.0
4910,2024-01-01,Rubí,19h,47.0,2.0
4911,2024-01-01,Rubí,20h,63.0,2.0
4912,2024-01-01,Rubí,21h,59.0,3.0
4913,2024-01-01,Rubí,22h,55.0,3.0
4914,2024-01-01,Rubí,23h,47.0,3.0
4915,2024-01-01,Rubí,24h,44.0,3.0
4988,2024-01-01,Terrassa,01h,31.0,1.0
4989,2024-01-01,Terrassa,02h,52.0,1.0
4990,2024-01-01,Terrassa,03h,42.0,1.0
4991,2024-01-01,Terrassa,04h,27.0,1.0
4992,2024-01-01,Terrassa,05h,24.0,1.0
4993,2024-01-01,Terrassa,06h,21.0,1.0
4994,2024-01-01,Terrassa,07h,18.0,1.0
4995,2024-01-01,Terrassa,08h,15.0,1.0
4996,2024-01-01,Terrassa,09h,17.0,1.0
4997,2024-01-01,Terrassa,10h,20.0,1.0
4998,2024-01-01,Terrassa,11h,20.0,1.0
4999,2024-01-01,Terrassa,12h,26.0,1.0
5000,2024-01-01,Terrassa,13h,19.0,1.0
5001,2024-01-01,Terrassa,14h,26.0,1.0
5002,2024-01-01,Terrassa,15h,22.0,1.0
5003,2024-01-01,Terrassa,16h,17.0,1.0
5004,2024-01-01,Terrassa,17h,23.0,1.0
5005,2024-01-01,Terrassa,18h,44.0,1.0
5006,2024-01-01,Terrassa,19h,95.0,1.0
5007,2024-01-01,Terrassa,20h,65.0,1.0
5008,2024-01-01,Terrassa,21h,64.0,1.0
5009,2024-01-01,Terrassa,22h,63.0,1.0
5010,2024-01-01,Terrassa,23h,46.0,1.0
5011,2024-01-01,Terrassa,24h,37.0,1.0
9620,2022-01-02,Montcada i Reixac,01h,44.0,1.0
9621,2022-01-02,Montcada i Reixac,02h,35.0,1.0
9622,2022-01-02,Montcada i Reixac,03h,34.0,1.0
9623,2022-01-02,Montcada i Reixac,04h,26.0,1.0
9624,2022-01-02,Montcada i Reixac,05h,27.0,1.0
9625,2022-01-02,Montcada i Reixac,06h,32.0,1.0
9626,2022-01-02,Montcada i Reixac,07h,59.0,1.0
9627,2022-01-02,Montcada i Reixac,08h,58.0,1.0
9628,2022-01-02,Montcada i Reixac,09h,60.0,1.0
9629,2022-01-02,Montcada i Reixac,10h,76.0,1.0
9630,2022-01-02,Montcada i Reixac,11h,73.0,1.0
9631,2022-01-02,Montcada i Reixac,12h,27.0,1.0
9632,2022-01-02,Montcada i Reixac,13h,19.0,1.0
9633,2022-01-02,Montcada i Reixac,14h,18.0,1.0
9634,2022-01-02,Montcada i Reixac,15h,14.0,1.0
9635,2022-01-02,Montcada i Reixac,16h,30.0,1.0
9636,2022-01-02,Montcada i Reixac,17h,33.0,1.0
9637,2022-01-02,Montcada i Reixac,18h,33.0,1.0
9638,2022-01-02,Montcada i Reixac,19h,53.0,1.0
9639,2022-01-02,Montcada i Reixac,20h,63.0,1.0
9640,2022-01-02,Montcada i Reixac,21h,70.0,1.0
9641,2022-01-02,Montcada i Reixac,22h,83.0,1.0
9642,2022-01-02,Montcada i Reixac,23h,76.0,1.0
9643,2022-01-02,Montcada i Reixac,24h,69.0,1.0
9644,2022-01-02,Rubí,01h,58.0,2.0
9645,2022-01-02,Rubí,02h,53.0,1.0
9646,2022-01-02,Rubí,03h,41.0,1.0
9647,2022-01-02,Rubí,04h,40.0,1.0
9648,2022-01-02,Rubí,05h,40.0,1.0
9649,2022-01-02,Rubí,06h,37.0,1.0
9650,2022-01-02,Rubí,07h,56.0,1.0
9651,2022-01-02,Rubí,08h,59.0,1.0
9652,2022-01-02,Rubí,09h,54.0,2.0
9653,2022-01-02,Rubí,10h,25.0,1.0
9654,2022-01-02,Rubí,11h,14.0,1.0
9655,2022-01-02,Rubí,12h,11.0,1.0
9656,2022-01-02,Rubí,13h,11.0,1.0
9657,2022-01-02,Rubí,14h,9.0,1.0
9658,2022-01-02,Rubí,15h,7.0,1.0
9659,2022-01-02,Rubí,16h,9.0,1.0
9660,2022-01-02,Rubí,17h,9.0,1.0
9661,2022-01-02,Rubí,18h,16.0,1.0
9662,2022-01-02,Rubí,19h,35.0,1.0
9663,2022-01-02,Rubí,20h,25.0,1.0
9664,2022-01-02,Rubí,21h,21.0,1.0
9665,2022-01-02,Rubí,22h,16.0,1.0
9666,2022-01-02,Rubí,23h,18.0,1.0
9667,2022-01-02,Rubí,24h,8.0,1.0
9712,2022-01-02,Santa Perpètua de Mogoda,01h,41.0,1.0
9713,2022-01-02,Santa Perpètua de Mogoda,02h,36.0,1.0
9714,2022-01-02,Santa Perpètua de Mogoda,03h,31.0,1.0
9715,2022-01-02,Santa Perpètua de Mogoda,04h,31.0,1.0
9716,2022-01-02,Santa Perpètua de Mogoda,05h,31.0,1.0
9717,2022-01-02,Santa Perpètua de Mogoda,06h,30.0,1.0
9718,2022-01-02,Santa Perpètua de Mogoda,07h,36.0,1.0
9719,2022-01-02,Santa Perpètua de Mogoda,08h,43.0,1.0
9720,2022-01-02,Santa Perpètua de Mogoda,09h,52.0,2.0
9721,2022-01-02,Santa Perpètua de Mogoda,10h,71.0,4.0
9722,2022-01-02,Santa Perpètua de Mogoda,11h,83.0,3.0
9723,2022-01-02,Santa Perpètua de Mogoda,12h,75.0,2.0
9724,2022-01-02,Santa Perpètua de Mogoda,13h,22.0,1.0
9725,2022-01-02,Santa Perpètua de Mogoda,14h,15.0,1.0
9726,2022-01-02,Santa Perpètua de Mogoda,15h,15.0,1.0
9727,2022-01-02,Santa Perpètua de Mogoda,16h,17.0,1.0
9728,2022-01-02,Santa Perpètua de Mogoda,17h,28.0,1.0
9729,2022-01-02,Santa Perpètua de Mogoda,18h,33.0,1.0
9730,2022-01-02,Santa Perpètua de Mogoda,19h,39.0,1.0
9731,2022-01-02,Santa Perpètua de Mogoda,20h,72.0,1.0
9732,2022-01-02,Santa Perpètua de Mogoda,21h,92.0,1.0
9733,2022-01-02,Santa Perpètua de Mogoda,22h,84.0,1.0
9734,2022-01-02,Santa Perpètua de Mogoda,23h,81.0,2.0
9735,2022-01-02,Santa Perpètua de Mogoda,24h,67.0,1.0
9736,2022-01-02,Terrassa,01h,61.0,2.0
9737,2022-01-02,Terrassa,02h,38.0,1.0
9738,2022-01-02,Terrassa,03h,34.0,1.0
9739,2022-01-02,Terrassa,04h,18.0,2.0
9740,2022-01-02,Terrassa,05h,17.0,2.0
9741,2022-01-02,Terrassa,06h,23.0,1.0
9742,2022-01-02,Terrassa,07h,44.0,2.0
9743,2022-01-02,Terrassa,08h,75.0,4.0
9744,2022-01-02,Terrassa,09h,70.0,3.0
9745,2022-01-02,Terrassa,10h,46.0,3.0
9746,2022-01-02,Terrassa,11h,31.0,2.0
9747,2022-01-02,Terrassa,12h,15.0,1.0
9748,2022-01-02,Terrassa,13h,17.0,1.0
9749,2022-01-02,Terrassa,14h,18.0,1.0
9750,2022-01-02,Terrassa,15h,20.0,1.0
9751,2022-01-02,Terrassa,16h,16.0,1.0
9752,2022-01-02,Terrassa,17h,25.0,1.0
9753,2022-01-02,Terrassa,18h,39.0,1.0
9754,2022-01-02,Terrassa,19h,56.0,1.0
9755,2022-01-02,Terrassa,20h,37.0,1.0
9756,2022-01-02,Terrassa,21h,25.0,1.0
9757,2022-01-02,Terrassa,22h,20.0,1.0
9758,2022-01-02,Terrassa,23h,15.0,1.0
9759,2022-01-02,Terrassa,24h,6.0,1.0
9784,2023-01-02,Montcada i Reixac,01h,60.0,1.0
9785,2023-01-02,Montcada i Reixac,02h,54.0,1.0
9786,2023-01-02,Montcada i Reixac,03h,51.0,1.0
9787,2023-01-02,Montcada i Reixac,04h,49.0,1.0
9788,2023-01-02,Montcada i Reixac,05h,48.0,1.0
9789,2023-01-02,Montcada i Reixac,06h,49.0,1.0
9790,2023-01-02,Montcada i Reixac,07h,57.0,1.0
9791,2023-01-02,Montcada i Reixac,08h,69.0,1.0
9792,2023-01-02,Montcada i Reixac,09h,84.0,1.0
9793,2023-01-02,Montcada i Reixac,10h,88.0,1.0
9794,2023-01-02,Montcada i Reixac,11h,80.0,1.0
9795,2023-01-02,Montcada i Reixac,12h,58.0,1.0
9796,2023-01-02,Montcada i Reixac,13h,29.0,1.0
9797,2023-01-02,Montcada i Reixac,14h,21.0,1.0
9798,2023-01-02,Montcada i Reixac,15h,13.0,1.0
9799,2023-01-02,Montcada i Reixac,16h,18.0,1.0
9800,2023-01-02,Montcada i Reixac,17h,42.0,1.0
9801,2023-01-02,Montcada i Reixac,18h,69.0,1.0
9802,2023-01-02,Montcada i Reixac,19h,73.0,1.0
9803,2023-01-02,Montcada i Reixac,20h,89.0,1.0
9804,2023-01-02,Montcada i Reixac,21h,91.0,1.0
9805,2023-01-02,Montcada i Reixac,22h,81.0,1.0
9806,2023-01-02,Montcada i Reixac,23h,64.0,1.0
9807,2023-01-02,Montcada i Reixac,24h,71.0,1.0
9808,2023-01-02,Rubí,01h,41.0,2.0
9809,2023-01-02,Rubí,02h,31.0,1.0
9810,2023-01-02,Rubí,03h,23.0,2.0
9811,2023-01-02,Rubí,04h,29.0,2.0
9812,2023-01-02,Rubí,05h,28.0,2.0
9813,2023-01-02,Rubí,06h,29.0,2.0
9814,2023-01-02,Rubí,07h,36.0,3.0
9815,2023-01-02,Rubí,08h,37.0,4.0
9816,2023-01-02,Rubí,09h,40.0,5.0
9817,2023-01-02,Rubí,10h,37.0,3.0
9818,2023-01-02,Rubí,11h,19.0,3.0
9819,2023-01-02,Rubí,12h,7.0,2.0
9820,2023-01-02,Rubí,13h,5.0,2.0
9821,2023-01-02,Rubí,14h,5.0,2.0
9822,2023-01-02,Rubí,15h,6.0,2.0
9823,2023-01-02,Rubí,16h,7.0,2.0
9824,2023-01-02,Rubí,17h,7.0,2.0
9825,2023-01-02,Rubí,18h,23.0,2.0
9826,2023-01-02,Rubí,19h,48.0,2.0
9827,2023-01-02,Rubí,20h,58.0,2.0
9828,2023-01-02,Rubí,21h,34.0,2.0
9829,2023-01-02,Rubí,22h,30.0,1.0
9830,2023-01-02,Rubí,23h,27.0,1.0
9831,2023-01-02,Rubí,24h,25.0,1.0
9879,2023-01-02,Santa Perpètua de Mogoda,01h,47.0,2.0
9880,2023-01-02,Santa Perpètua de Mogoda,02h,44.0,2.0
9881,2023-01-02,Santa Perpètua de Mogoda,03h,50.0,3.0
9882,2023-01-02,Santa Perpètua de Mogoda,04h,45.0,3.0
9883,2023-01-02,Santa Perpètua de Mogoda,05h,42.0,4.0
9884,2023-01-02,Santa Perpètua de Mogoda,06h,43.0,6.0
9885,2023-01-02,Santa Perpètua de Mogoda,07h,46.0,8.0
9886,2023-01-02,Santa Perpètua de Mogoda,08h,57.0,11.0
9887,2023-01-02,Santa Perpètua de Mogoda,09h,70.0,16.0
9888,2023-01-02,Santa Perpètua de Mogoda,10h,71.0,16.0
9889,2023-01-02,Santa Perpètua de Mogoda,11h,79.0,15.0
9890,2023-01-02,Santa Perpètua de Mogoda,12h,67.0,12.0
9891,2023-01-02,Santa Perpètua de Mogoda,13h,32.0,8.0
9892,2023-01-02,Santa Perpètua de Mogoda,14h,20.0,4.0
9893,2023-01-02,Santa Perpètua de Mogoda,15h,14.0,3.0
9894,2023-01-02,Santa Perpètua de Mogoda,16h,14.0,2.0
9895,2023-01-02,Santa Perpètua de Mogoda,17h,19.0,2.0
9896,2023-01-02,Santa Perpètua de Mogoda,18h,46.0,2.0
9897,2023-01-02,Santa Perpètua de Mogoda,19h,63.0,2.0
9898,2023-01-02,Santa Perpètua de Mogoda,20h,77.0,3.0
9899,2023-01-02,Santa Perpètua de Mogoda,21h,83.0,4.0
9900,2023-01-02,Santa Perpètua de Mogoda,22h,75.0,5.0
9901,2023-01-02,Santa Perpètua de Mogoda,23h,65.0,4.0
9902,2023-01-02,Santa Perpètua de Mogoda,24h,53.0,2.0
9903,2023-01-02,Terrassa,01h,48.0,1.0
9904,2023-01-02,Terrassa,02h,15.0,2.0
9905,2023-01-02,Terrassa,03h,14.0,2.0
9906,2023-01-02,Terrassa,04h,20.0,2.0
9907,2023-01-02,Terrassa,05h,42.0,2.0
9908,2023-01-02,Terrassa,06h,30.0,3.0
9909,2023-01-02,Terrassa,07h,46.0,2.0
9910,2023-01-02,Terrassa,08h,58.0,4.0
9911,2023-01-02,Terrassa,09h,47.0,4.0
9912,2023-01-02,Terrassa,10h,52.0,5.0
9913,2023-01-02,Terrassa,11h,26.0,3.0
9914,2023-01-02,Terrassa,12h,17.0,3.0
9915,2023-01-02,Terrassa,13h,16.0,2.0
9916,2023-01-02,Terrassa,14h,21.0,1.0
9917,2023-01-02,Terrassa,15h,19.0,1.0
9918,2023-01-02,Terrassa,16h,24.0,1.0
9919,2023-01-02,Terrassa,17h,31.0,1.0
9920,2023-01-02,Terrassa,18h,60.0,1.0
9921,2023-01-02,Terrassa,19h,90.0,1.0
9922,2023-01-02,Terrassa,20h,81.0,1.0
9923,2023-01-02,Terrassa,21h,70.0,1.0
9924,2023-01-02,Terrassa,22h,53.0,1.0
9925,2023-01-02,Terrassa,23h,30.0,1.0
9926,2023-01-02,Terrassa,24h,18.0,1.0
9951,2024-01-02,Montcada i Reixac,01h,50.0,1.0
9952,2024-01-02,Montcada i Reixac,02h,42.0,1.0
9953,2024-01-02,Montcada i Reixac,03h,37.0,1.0
9954,2024-01-02,Montcada i Reixac,04h,34.0,1.0
9955,2024-01-02,Montcada i Reixac,05h,32.0,1.0
9956,2024-01-02,Montcada i Reixac,06h,33.0,1.0
9957,2024-01-02,Montcada i Reixac,07h,43.0,1.0
9958,2024-01-02,Montcada i Reixac,08h,57.0,1.0
9959,2024-01-02,Montcada i Reixac,09h,59.0,1.0
9960,2024-01-02,Montcada i Reixac,10h,66.0,1.0
9961,2024-01-02,Montcada i Reixac,11h,66.0,1.0
