Codi Municipi Ine,Nom_municipi,Comarca,Any,Densitat població,Densitat població urbana,Evolució població,Sòl urbà ordenat / habitant,Sòl urbà ordenat d’activitat econòmica / habitant,Sòl urbà ordenat residencial / habitant,Zona verda urbana / habitant,Sistema equipaments urbans / habitant,Tipologia teixits urbans residencials,Regeneració urbana,Ocupació mitjana habitatges,% sòl artificialitzat,% sòl residencial o d’activitat econòmica en sòl urbanitzable delimitat,Ús dominant sòl urbanitzable delimitat,% sòl residencial o d’activitat econòmica en sòl urbà no ordenat,Ús dominant sòl urbà no ordenat,Densitat habitatges sòl urbanitzable,Potencial habitatges sectors ja urbanitzats,Potencial habitatges previstos sòl urbà no ordenat,Potencial habitatges previstos sòl urbanitzable delimitat,Increment habitatges sòl urbà no ordenat/ existents,Increment habitatges sòl urbanitzable delimitat/ existents,Increment habitatges sòl urbà no ordenat/ 100 habitants,Increment habitatges sòl urbanitzable delimitat/ 100 hab,Potencial sostre sòl urbanitzable delimitat,Potencial sostre sòl urbà no ordenat,Potencial sostre sectors ja urbanitzats,Creixement urbà,Nous habitatges per any,Densitat habitatges sòl urbà no ordenat,Potencial de creixement urbà,Edificacions espais oberts,Sol·licituds en sòl no urbanitzable aprovades,Sol·licituds en sòl no urbanitzable denegades,Antiguitat figures planejament municipal,Figura planejament municipal,Noves figures planejament general per any,Expedients planejament derivat per any,Autoritzacions en domini públic anuals,Densitat xarxa viària / km2,Densitat xarxa viària /  habitant,Densitat xarxa ferroviària / km2,Densitat xarxa ferroviària / habitant
25100,Gósol,Berguedà,2018,3.712552433,8.714540946,-5.855855856,1147.507374,7.11622131,672.3571723,135.4303721,37.65835218,0.8900617388,12.42500566,0.5264483627,0.597699619,62.96223334,AE,74.07910682,R,32,0,125.4273275,23.70548159,31.59378526,5.971154052,60.01307534,11.34233569,6133.580706,5793.080883,0,0,0,56.81958598,7.41804269,2.428341922,0,0,7,Pla d'ordenació urbanística municipal,0,0,0,0.0991057713,25.13157237,0,0
25101,la Granadella,Garrigues,2018,8.20766991,24.8261347,-1.221166893,402.801327,38.10549364,201.1121679,5.054188347,51.4694927,0.1809751211,5.486378089,1.389312977,1.963763066,0,-,100,R,0,0,35,0,6.679389313,0,4.807692308,0,0,0,0,0,0,21.7550489,0,20.28580213,1,0,4,Normes de planejament urbanístic,0,0,0,0.2995028379,36.04499348,0,0
25102,la Granja d'Escarp,Segrià,2018,24.82727407,46.48257611,-1.544799176,215.1343759,12.60217957,105.9412774,18.88096134,32.58254965,0.0524886913,3.594110606,1.71942446,1.051729132,53.84036809,R,100,R,26.45838565,0,37,63,6.654676259,11.33093525,3.870292887,6.589958159,7812.021205,0,0,0,0,49.75306525,20.75708756,15.79131477,0,0,15,Normes subsidiàries del planejament,0,0,0,0.0482139754,1.911976567,0,0
25103,Granyanella,Segarra,2018,5.810846404,11.24217743,-4.761904762,889.5073988,184.1505192,302.4716267,149.055592,42.29887984,0,0,1.489361702,3.466455853,50.51709892,AE,0,-,0,0,0,0,0,0,0,0,19122.66971,0,19122.66971,0,0,0,126.6546902,14.8989045,0,0,26,Normes subsidiàries del planejament,0,0,0,0.5418353353,88.80524742,2.26154983,370.661489
25104,Granyena de Segarra,Segarra,2018,8.87480542,15.50816244,2.797202797,644.8217215,0,242.4364583,127.4073667,62.36836401,0,36.63737569,1.289473684,1.055453619,0,-,100,R,0,0,114,0,100,0,77.55102041,0,0,0,0,0,0,32.82641836,0,12.76669732,0,0,9,Pla d'ordenació urbanística plurimunicipal,0,0,0,0.1352498874,15.666045,0,0
25105,Granyena de les Garrigues,Garrigues,2018,7.035422091,18.85429314,-8.860759494,530.3831824,21.06781316,314.2029467,15.03165779,41.17002232,0.3692524465,7.944130838,0.972972973,0.7635356919,0,-,100,R,0,0,30,0,20.27027027,0,20.83333333,0,0,0,0,0,0,49.44502826,0,24.42897764,1,0,4,Normes de planejament urbanístic,0,0,0,0.2642711158,34.23457537,0,0
25109,Guimerà,Urgell,2018,10.54147996,12.48191709,-1.098901099,801.1589831,0,428.2385255,34.10466743,14.4003412,0.2618632415,0,0.6398104265,1.47689813,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1770559,0,0,27,Normes subsidiàries del planejament,0,0,0,0.2435908291,22.8539074,0,0
25110,Guissona,Segarra,2018,388.5161475,48.93376887,0.2851439977,204.3578541,50.38751466,77.60274574,18.05405288,19.88708576,0.2871103679,0,2.739096573,16.05979506,56.32050814,R,0,-,44.27856602,0,0,2791.241492,0,108.6932045,0,39.68213665,240585.4009,0,0,11.70663742,9,0,76.32420392,18.1508297,1,0,5,Pla d'ordenació urbanística municipal,0,0,0,0.8955591848,2.311648625,0,0
25111,Guixers,Solsonès,2018,2.092665259,8.170560948,-1.428571429,1223.906175,950.1524048,153.4708285,23.74789233,42.43071998,4.630578695,0,0.9452054795,0.7102082911,53.0881106,R,0,-,11.01679572,0,0,60,0,41.09589041,0,43.47826087,26469.41232,0,0,0,0,0,60.73953771,5.198995819,0,0,8,Pla d'ordenació urbanística municipal,0,0,0,0.357680861,168.4794703,0,0
25112,Ivars de Noguera,Noguera,2018,12.41729011,21.53073617,1.506024096,464.452303,8.099067799,248.0084658,30.01279364,30.73133669,0,19.31777408,1.982352941,1.090974364,100,R,100,R,20.09160957,0,105,15,61.76470588,8.823529412,31.15727003,4.451038576,0,0,0,0,3,34.72651446,3.997609466,10.69242808,0,0,13,Pla d'ordenació urbanística municipal,0,0,0,0.1132347896,9.256458673,0,0
